Cell Type,Gradient:0,Gradient:1,Gradient:2,U:0,U:1,U:2,p,,WSS
9,-90.623,-51.413,0,0.019081,0.0065328,0,3.1799,,104.191289
9,-90.623,-51.413,0,0.019081,0.0065328,0,3.1799,,104.191289
9,-90.623,-51.413,0,0.019081,0.0065328,0,3.1799,,104.191289
9,-104.84,-12.668,0,0.014972,0.0017189,0,2.6883,,105.6025749
9,-104.84,-12.668,0,0.014972,0.0017189,0,2.6883,,105.6025749
9,-23.869,5.7345,0,0.0095529,0.0003965,0,2.6172,,24.54819039
9,-23.869,5.7345,0,0.0095529,0.0003965,0,2.6172,,24.54819039
9,-17.882,3.0888,0,0.0083199,0.00011203,-1.59E-20,2.5713,,18.14680714
9,-17.882,3.0888,0,0.0083199,0.00011203,-1.59E-20,2.5713,,18.14680714
9,-16.534,0.9351,0,0.0079452,2.27E-05,-1.57E-20,2.5307,,16.56042173
9,-16.534,0.9351,0,0.0079452,2.27E-05,-1.57E-20,2.5307,,16.56042173
9,-16.731,-0.016991,0,0.0078697,-5.84E-06,0,2.4899,,16.73100863
9,-16.731,-0.016991,0,0.0078697,-5.84E-06,0,2.4899,,16.73100863
9,-17.247,-0.46255,0,0.0079027,-1.37E-05,0,2.4476,,17.25320149
9,-17.247,-0.46255,0,0.0079027,-1.37E-05,0,2.4476,,17.25320149
9,-17.771,-0.71068,0,0.0079787,-1.74E-05,0,2.4039,,17.78520472
9,-17.771,-0.71068,0,0.0079787,-1.74E-05,0,2.4039,,17.78520472
9,-18.278,-0.91476,0,0.0080852,-2.24E-05,0,2.3589,,18.3008762
9,-18.278,-0.91476,0,0.0080852,-2.24E-05,0,2.3589,,18.3008762
9,-18.984,-1.1889,0,0.0082389,-3.00E-05,0,2.3127,,19.02119185
9,-18.984,-1.1889,0,0.0082389,-3.00E-05,0,2.3127,,19.02119185
9,-19.372,-1.5546,0,0.008436,-3.81E-05,0,2.2643,,19.4342781
9,-19.372,-1.5546,0,0.008436,-3.81E-05,0,2.2643,,19.4342781
9,-19.543,-2.0709,0,0.0088195,-6.19E-05,0,2.2162,,19.65241654
9,-19.543,-2.0709,0,0.0088195,-6.19E-05,0,2.2162,,19.65241654
9,-26.052,-2.7254,0,0.0090946,-5.58E-05,0,2.1672,,26.19416937
9,-26.052,-2.7254,0,0.0090946,-5.58E-05,0,2.1672,,26.19416937
9,-69.63,-96.572,0,0.038234,0.01541,0,3.0386,,119.0566591
9,-69.63,-96.572,0,0.038234,0.01541,0,3.0386,,119.0566591
9,-83.34,-27.675,0,0.034127,0.0053088,0,2.7024,,87.81492598
9,-24.546,6.9919,0,0.025774,0.0016681,0,2.6302,,25.52239765
9,-19.235,4.4137,0,0.023201,0.00054271,1.97E-20,2.5761,,19.73489226
9,-17.167,1.4182,0,0.022283,0.00012107,-1.94E-20,2.532,,17.22548055
9,-17.029,-0.062843,0,0.02208,-3.16E-05,0,2.4896,,17.02911596
9,-17.402,-0.80877,0,0.022164,-8.73E-05,0,2.4466,,17.42078394
9,-17.878,-1.2507,0,0.022372,-0.00011536,0,2.4025,,17.92169452
9,-18.395,-1.6373,0,0.022674,-0.00014431,0,2.3572,,18.46772255
9,-19.164,-2.1503,0,0.023106,-0.00018682,0,2.3106,,19.28426006
9,-19.574,-2.8042,0,0.023675,-0.00024317,0,2.2614,,19.77384671
9,-19.865,-3.701,0,0.024701,-0.00034785,0,2.2127,,20.20682127
9,-26.555,-4.7986,0,0.025462,-0.00038733,0,2.1621,,26.98508082
9,-46.413,-80.15,0,0.04753,0.017843,0,2.9194,,92.61851364
9,-46.413,-80.15,0,0.04753,0.017843,0,2.9194,,92.61851364
9,-58.989,-29.377,0,0.045963,0.0084785,8.26E-20,2.7004,,65.89924317
9,-24.058,-0.73522,0,0.038682,0.003424,0,2.6349,,24.06923165
9,-20.109,1.0419,0,0.035981,0.0012204,0,2.5785,,20.13597369
9,-17.695,0.48452,0,0.034913,0.00027973,3.89E-20,2.5327,,17.70163226
9,-17.323,-0.16104,0,0.034695,-9.25E-05,0,2.4894,,17.32374852
9,-17.565,-0.61846,0,0.034848,-0.00024351,0,2.4459,,17.57588455
9,-18.001,-0.94401,0,0.035181,-0.00032401,-7.37E-20,2.4015,,18.02573593
9,-18.529,-1.2578,0,0.035655,-0.00040341,-7.23E-20,2.3559,,18.57164241
9,-19.363,-1.6628,0,0.036327,-0.00051684,0,2.3089,,19.43426543
9,-19.783,-2.145,0,0.03722,-0.00067934,-6.93E-20,2.2591,,19.89894756
9,-20.2,-2.7745,0,0.038763,-0.00092084,-6.74E-20,2.21,,20.38965057
9,-26.99,-3.5013,0,0.039934,-0.0011059,0,2.1581,,27.216157
9,-30.015,-62.696,0,0.051832,0.017079,0,2.8301,,69.51034916
9,-30.015,-62.696,0,0.051832,0.017079,0,2.8301,,69.51034916
9,-40.978,-27.218,0,0.053119,0.010315,-8.26E-20,2.6894,,49.19365821
9,-22.177,-5.2264,0,0.048535,0.0048594,8.06E-20,2.6326,,22.78452514
9,-19.84,-1.3161,0,0.046585,0.0018251,7.91E-20,2.5785,,19.88360428
9,-17.809,-0.27669,0,0.045764,0.00039861,0,2.5329,,17.81114927
9,-17.47,-0.28685,0,0.045673,-0.00020664,0,2.4892,,17.47235482
9,-17.672,-0.49835,0,0.045933,-0.00046771,0,2.4454,,17.67902533
9,-18.095,-0.71602,0,0.046385,-0.00061541,7.37E-20,2.4008,,18.10916093
9,-18.634,-0.94837,0,0.047007,-0.00076477,2.67E-23,2.3549,,18.65811785
9,-19.504,-1.2274,0,0.047873,-0.00097628,0,2.3076,,19.5425824
9,-19.928,-1.5523,0,0.049027,-0.0012877,6.93E-20,2.2574,,19.9883671
9,-20.415,-1.9534,0,0.05096,-0.0017024,6.74E-20,2.2081,,20.50824216
9,-27.231,-2.3873,0,0.052464,-0.0021046,0,2.1553,,27.33544516
9,-18.592,-49.354,0,0.05361,0.014968,0,2.7611,,52.73973625
9,-18.592,-49.354,0,0.05361,0.014968,0,2.7611,,52.73973625
9,-27.942,-23.736,0,0.057304,0.010711,8.18E-20,2.6758,,36.66269303
9,-19.845,-6.7226,0,0.055829,0.0055462,-8.06E-20,2.6274,,20.95274149
9,-18.968,-2.3318,0,0.055128,0.0021262,-4.60E-23,2.5773,,19.11079054
9,-17.659,-0.68058,0,0.054849,0.00038731,-7.77E-20,2.5326,,17.67210995
9,-17.506,-0.35769,0,0.055006,-0.0003957,0,2.4889,,17.50965386
9,-17.734,-0.40432,0,0.055407,-0.00075268,0,2.445,,17.73860848
9,-18.161,-0.53724,0,0.055974,-0.00096887,0,2.4002,,18.1689446
